                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.55799,                0.34764,                0.92246,                0.93414,                0.93714,                0.95808,                0.85198,                0.51722,                0.33374,                0.92814,               0.004555,               0.004555,               0.004555
                     57,                0.54769,                0.34481,                0.91554,                0.94051,                0.93061,                0.95901,                 0.8505,                0.51306,                0.33355,                0.92668,               0.004456,               0.004456,               0.004456
                     58,                0.54549,                0.34055,                0.91716,                0.93947,                0.93405,                0.95895,                0.85156,                0.51093,                0.33682,                 0.9249,               0.004357,               0.004357,               0.004357
                     59,                0.54335,                0.33804,                0.91703,                0.94324,                0.92726,                0.95974,                 0.8546,                0.50832,                0.33389,                0.91983,               0.004258,               0.004258,               0.004258
                     60,                0.53701,                0.33436,                0.91006,                0.94241,                0.92916,                0.95865,                0.85109,                0.50777,                0.33431,                0.92018,               0.004159,               0.004159,               0.004159
                     61,                0.54026,                0.33745,                0.91147,                0.94635,                0.93102,                 0.9604,                0.85124,                0.50852,                0.33133,                0.91929,                0.00406,                0.00406,                0.00406
                     62,                0.53055,                0.32771,                0.90483,                0.94499,                0.92837,                0.95953,                0.84986,                0.50659,                0.32596,                0.91657,               0.003961,               0.003961,               0.003961
                     63,                0.53081,                0.32716,                0.90683,                0.94548,                 0.9302,                0.96014,                0.85322,                0.50458,                0.32642,                0.91401,               0.003862,               0.003862,               0.003862
                     64,                0.52389,                0.32304,                0.90408,                0.94531,                0.93107,                 0.9621,                0.85692,                0.50435,                0.32455,                 0.9208,               0.003763,               0.003763,               0.003763
                     65,                0.52523,                0.32161,                0.90481,                0.94809,                0.93207,                0.96265,                0.85585,                0.50413,                0.32411,                0.91587,               0.003664,               0.003664,               0.003664
                     66,                0.52596,                0.32135,                0.90195,                0.95011,                0.93102,                0.96279,                0.85813,                0.50067,                0.31938,                0.91069,               0.003565,               0.003565,               0.003565
                     67,                0.52143,                0.31576,                0.90228,                0.93523,                0.94192,                 0.9612,                0.85679,                 0.5015,                0.32258,                0.91339,               0.003466,               0.003466,               0.003466
                     68,                0.51458,                0.31079,                0.89828,                0.94255,                0.93315,                0.96214,                0.85873,                0.49987,                0.32638,                0.91524,               0.003367,               0.003367,               0.003367
                     69,                  0.512,                0.30768,                  0.901,                0.93807,                0.93485,                0.96204,                 0.8601,                0.49595,                0.32326,                0.91211,               0.003268,               0.003268,               0.003268
